EUR GBP USD CHF YEN
04/02/2015 -0.012 0.50788 0.178 0.02 0.04063
04/01/2015 -0.012 0.50631 0.17755 0.02 0.04
03/31/2015 -0.012 0.50631 0.17625 0.02 0.04
03/30/2015 -0.012 0.50319 0.17925 0.02 0.04
03/27/2015 -0.012 0.50631 0.178 0.02 0.04
03/26/2015 -0.014 0.50631 0.17775 0.02 0.04
03/25/2015 -0.011 0.50319 0.1756 0.02 0.04063
03/24/2015 -0.011 0.50319 0.17275 0.02 0.04063
03/23/2015 -0.012 0.50381 0.17375 0.02 0.04063
03/20/2015 -0.011 0.5035 0.174 0.02 0.04
03/19/2015 -0.009 0.5035 0.17325 0.02 0.04
03/18/2015 -0.011 0.50319 0.176 0.02 0.04
03/17/2015 -0.009 0.50319 0.1775 0.02 0.04
03/16/2015 -0.008 0.50538 0.177 0.02 0.04
03/13/2015 -0.008 0.50788 0.1775 0.02 0.04
03/12/2015 -0.007 0.5035 0.177 0.02 0.04
03/11/2015 -0.006 0.506 0.1775 0.02 0.04
03/10/2015 -0.006 0.50694 0.177 0.02 0.04063
03/09/2015 -0.005 0.50663 0.1775 0.02 0.04063
03/06/2015 -0.005 0.50444 0.177 0.02 0.04
03/05/2015 -0.004 0.501 0.1765 0.02 0.04
03/04/2015 0.001 0.50319 0.1745 0.02 0.04063
03/03/2015 0.001 0.506 0.176 0.02 0.04063
03/02/2015 0.001 0.50538 0.1779 0.02 0.04
02/27/2015 0.001 0.50413 0.1765 0.02 0.04
02/26/2015 0.001 0.50413 0.175 0.02 0.04
02/25/2015 0.001 0.50038 0.175 0.02 0.04
02/24/2015 0.002 0.50194 0.175 0.02 0.04
02/23/2015 0.002 0.50538 0.173 0.02 0.04
02/20/2015 0.001 0.50288 0.1727 0.02 0.04
02/19/2015 -0.001 0.50538 0.173 0.02 0.04
02/18/2015 0.002 0.50288 0.1719 0.02 0.04063
02/17/2015 0.001 0.5035 0.172 0.02 0.04188
02/16/2015 0.001 0.50381 0.1715 0.02 0.04
